R1-L1,R2-L2,R3-L3,L1-L2,L1-L3,R1-R2,R1-R3
0.81,0.93,0.91,0.31,0.21,0.85,0.89
0.78,0.27,0.31,0.92,0.6,0.94,0.34
0.99,0.89,0.75,0.95,0.12,0.96,0.43
0.28,0.63,0.09,0.04,0.08,0.83,0.89
0.93,0.57,0.97,0.96,0.26,0.72,0.43
