R1-L1,R3-L3,L1-L3,R1-R3
0.97,0.68,0.88,0.86
0.77,0.91,0.69,0.86
0.7,0.83,0.83,0.87
0.99,0.72,0.97,0.91
0.9,0.85,0.73,0.91
