R1-L1,R2-L2,R3-L3,L1-L2,L1-L3,R1-R2,R1-R3
0.94,0.98,0.9,0.93,0.29,0.97,0.59
0.96,0.97,0.97,1,0.45,0.96,0.39
0.84,0.99,0.73,0.89,0.23,0.92,0.32
0.99,0.85,0.68,0.8,0.35,0.91,0.62
0.81,0.57,0.32,0.99,0.05,0.9,0.26
